SampleID;Line;Spot;SpotID;Genus;Locality;skeletPart;tissueType;mmThickness;thickClass;mmDist;maxDist;profilePerc
TS030;L1;5;T-30.2_Ap5;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;1.224374482;30.49139388;4.015475602127507
TS030;L1;6;T-30.2_Ap6;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;1.479303394;30.49139388;4.8515440121296285
TS030;L1;7;T-30.2_Ap7;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;1.741899365;30.49139388;5.712757415601625
TS030;L1;8;T-30.2_Ap8;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;2.02801805;30.49139388;6.651116239491508
TS030;L1;9;T-30.2_Ap9;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;2.304388457;30.49139388;7.557504475095516
TS030;L1;10;T-30.2_Ap10;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;2.495931134;30.49139388;8.185690506058295
TS030;L1;11;T-30.2_Ap11;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;2.707449669;30.49139388;8.879389639106915
TS031;L1;1;T31_1;Tarbosaurus;Altan Uul;tibia;Cortex;30.636990110796653;long;0.343345259;40.33510111;0.8512319283981585
TS031;L1;2;T31_2;Tarbosaurus;Altan Uul;tibia;Cortex;30.636990110796653;long;0.847303608;40.33510111;2.1006606768860534
TS031;L1;3;T31_3;Tarbosaurus;Altan Uul;tibia;Cortex;30.636990110796653;long;1.347863198;40.33510111;3.34166311948536
TS031;L1;4;T31_4;Tarbosaurus;Altan Uul;tibia;Cortex;30.636990110796653;long;1.848387975;40.33510111;4.582579252644398
TS031;L1;5;T31_5;Tarbosaurus;Altan Uul;tibia;Cortex;30.636990110796653;long;2.315427325;40.33510111;5.740477304582614
TS031;L1;6;T31_6;Tarbosaurus;Altan Uul;tibia;Cortex;30.636990110796653;long;2.864004468;40.33510111;7.100526313766814
